quadrado,centro_x,centro_y,superior_esquerdo_x,superior_esquerdo_y,superior_direito_x,superior_direito_y,inferior_direito_x,inferior_direito_y,inferior_esquerdo_x,inferior_esquerdo_y
1,281.8,235.0,119.5874,393.4567,444.0126,393.4567,444.0126,76.54329999999999,119.5874,76.54329999999999
2,281.8,566.0,119.5874,724.4567,444.0126,724.4567,444.0126,407.5433,119.5874,407.5433
3,281.8,896.7,119.5874,1055.1567,444.0126,1055.1567,444.0126,738.2433000000001,119.5874,738.2433000000001
4,281.8,1227.7,119.5874,1386.1567,444.0126,1386.1567,444.0126,1069.2433,119.5874,1069.2433
5,613.0,303.0,450.7874,461.4567,775.2126000000001,461.4567,775.2126000000001,144.5433,450.7874,144.5433
6,613.0,634.0,450.7874,792.4567,775.2126000000001,792.4567,775.2126000000001,475.5433,450.7874,475.5433
7,613.0,964.7,450.7874,1123.1567,775.2126000000001,1123.1567,775.2126000000001,806.2433000000001,450.7874,806.2433000000001
8,613.0,1295.0,450.7874,1453.4567,775.2126000000001,1453.4567,775.2126000000001,1136.5433,450.7874,1136.5433
9,944.0,235.0,781.7873999999999,393.4567,1106.2126,393.4567,1106.2126,76.54329999999999,781.7873999999999,76.54329999999999
10,944.0,566.0,781.7873999999999,724.4567,1106.2126,724.4567,1106.2126,407.5433,781.7873999999999,407.5433
11,944.0,896.7,781.7873999999999,1055.1567,1106.2126,1055.1567,1106.2126,738.2433000000001,781.7873999999999,738.2433000000001
12,944.0,1227.7,781.7873999999999,1386.1567,1106.2126,1386.1567,1106.2126,1069.2433,781.7873999999999,1069.2433
13,1275.0,303.0,1112.7874,461.4567,1437.2126,461.4567,1437.2126,144.5433,1112.7874,144.5433
14,1275.0,634.0,1112.7874,792.4567,1437.2126,792.4567,1437.2126,475.5433,1112.7874,475.5433
15,1275.0,964.7,1112.7874,1123.1567,1437.2126,1123.1567,1437.2126,806.2433000000001,1112.7874,806.2433000000001
16,1275.0,1295.0,1112.7874,1453.4567,1437.2126,1453.4567,1437.2126,1136.5433,1112.7874,1136.5433
17,1606.8,235.0,1444.5874,393.4567,1769.0126,393.4567,1769.0126,76.54329999999999,1444.5874,76.54329999999999
18,1606.8,566.0,1444.5874,724.4567,1769.0126,724.4567,1769.0126,407.5433,1444.5874,407.5433
19,1606.8,896.7,1444.5874,1055.1567,1769.0126,1055.1567,1769.0126,738.2433000000001,1444.5874,738.2433000000001
20,1606.8,1227.7,1444.5874,1386.1567,1769.0126,1386.1567,1769.0126,1069.2433,1444.5874,1069.2433
21,1938.0,303.0,1775.7874,461.4567,2100.2126,461.4567,2100.2126,144.5433,1775.7874,144.5433
22,1938.0,634.0,1775.7874,792.4567,2100.2126,792.4567,2100.2126,475.5433,1775.7874,475.5433
23,1938.0,964.7,1775.7874,1123.1567,2100.2126,1123.1567,2100.2126,806.2433000000001,1775.7874,806.2433000000001
24,1938.0,1295.0,1775.7874,1453.4567,2100.2126,1453.4567,2100.2126,1136.5433,1775.7874,1136.5433
25,2269.0,235.0,2106.7874,393.4567,2431.2126,393.4567,2431.2126,76.54329999999999,2106.7874,76.54329999999999
26,2269.0,566.0,2106.7874,724.4567,2431.2126,724.4567,2431.2126,407.5433,2106.7874,407.5433
27,2269.0,896.7,2106.7874,1055.1567,2431.2126,1055.1567,2431.2126,738.2433000000001,2106.7874,738.2433000000001
28,2269.0,1227.7,2106.7874,1386.1567,2431.2126,1386.1567,2431.2126,1069.2433,2106.7874,1069.2433
